1_F.3d_87.in.txt      gpt-4o stability=0.85, accuracy=0.85; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.65, accuracy=0.35
3_F.3d_103.in.txt     gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
3_F.3d_255.in.txt     gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
3_F.3d_591.in.txt     gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
3_F.3d_697.in.txt     gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
3_F.3d_1029.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
3_F.3d_1312.in.txt    gpt-4o stability=0.95, accuracy=0.05; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.95, accuracy=0.05
3_F.3d_1327.in.txt    gpt-4o stability=0.90, accuracy=0.90; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.85, accuracy=0.85
3_F.3d_1371.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
4_F.3d_541.in.txt     gpt-4o stability=0.80, accuracy=0.80; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.55, accuracy=0.55
4_F.3d_742.in.txt     gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
4_F.3d_815.in.txt     gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
4_F.3d_1285.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.90, accuracy=0.10
4_F.3d_1348.in.txt    gpt-4o stability=0.95, accuracy=0.95; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.55, accuracy=0.45
5_F.3d_59.in.txt      gpt-4o stability=0.95, accuracy=0.95; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.80, accuracy=0.80
5_F.3d_97.in.txt      gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
5_F.3d_181.in.txt     gpt-4o stability=0.95, accuracy=0.05; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.85, accuracy=0.85
5_F.3d_383.in.txt     gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
5_F.3d_447.in.txt     gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
5_F.3d_488.in.txt     gpt-4o stability=0.90, accuracy=0.90; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.90, accuracy=0.10
5_F.3d_791.in.txt     gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
5_F.3d_1125.in.txt    gpt-4o stability=0.65, accuracy=0.65; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=0.00
5_F.3d_1157.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.75, accuracy=0.75
5_F.3d_1226.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
5_F.3d_1229.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
5_F.3d_1255.in.txt    gpt-4o stability=0.80, accuracy=0.80; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.70, accuracy=0.30
5_F.3d_1278.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.95, accuracy=0.05
5_F.3d_1344.in.txt    gpt-4o stability=0.75, accuracy=0.25; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.95, accuracy=0.05
5_F.3d_1355.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.70, accuracy=0.70
5_F.3d_1477.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
6_F.3d_330.in.txt     gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
6_F.3d_405.in.txt     gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
6_F.3d_486.in.txt     gpt-4o stability=0.85, accuracy=0.85; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.70, accuracy=0.70
6_F.3d_549.in.txt     gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
6_F.3d_673.in.txt     gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
6_F.3d_692.in.txt     gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=0.95, accuracy=0.95; gemini-1.5 stability=0.75, accuracy=0.75
6_F.3d_705.in.txt     gpt-4o stability=0.90, accuracy=0.90; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.90, accuracy=0.90
6_F.3d_951.in.txt     gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=0.00
6_F.3d_960.in.txt     gpt-4o stability=0.85, accuracy=0.15; claude-3.5 stability=0.80, accuracy=0.20; gemini-1.5 stability=0.95, accuracy=0.05
6_F.3d_1195.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
6_F.3d_1400.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
7_F.3d_1.in.txt       gpt-4o stability=0.55, accuracy=0.45; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=0.00
7_F.3d_26.in.txt      gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
7_F.3d_246.in.txt     gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
7_F.3d_570.in.txt     gpt-4o stability=0.80, accuracy=0.80; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.65, accuracy=0.35
7_F.3d_709.in.txt     gpt-4o stability=0.85, accuracy=0.15; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
7_F.3d_720.in.txt     gpt-4o stability=0.95, accuracy=0.05; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.80, accuracy=0.80
7_F.3d_744.in.txt     gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.70, accuracy=0.70
7_F.3d_753.in.txt     gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.85, accuracy=0.15
7_F.3d_762.in.txt     gpt-4o stability=0.90, accuracy=0.90; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.55, accuracy=0.45
7_F.3d_788.in.txt     gpt-4o stability=0.85, accuracy=0.15; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.65, accuracy=0.35
7_F.3d_976.in.txt     gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
7_F.3d_1037.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
7_F.3d_1097.in.txt    gpt-4o stability=0.95, accuracy=0.95; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.70, accuracy=0.70
7_F.3d_1217.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
7_F.3d_1263.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.95, accuracy=0.95
7_F.3d_1471.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.55, accuracy=0.45
7_F.3d_1571.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.55, accuracy=0.45
8_F.3d_152.in.txt     gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.75, accuracy=0.25
8_F.3d_268.in.txt     gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
8_F.3d_358.in.txt     gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
8_F.3d_376.in.txt     gpt-4o stability=0.55, accuracy=0.55; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.50, accuracy=0.50
8_F.3d_498.in.txt     gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
8_F.3d_980.in.txt     gpt-4o stability=0.90, accuracy=0.90; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.60, accuracy=0.60
8_F.3d_1113.in.txt    gpt-4o stability=0.85, accuracy=0.15; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.85, accuracy=0.85
8_F.3d_1206.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
8_F.3d_1278.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
8_F.3d_1325.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.95, accuracy=0.05
8_F.3d_1403.in.txt    gpt-4o stability=0.95, accuracy=0.05; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
8_F.3d_1429.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.85, accuracy=0.15
8_F.3d_1449.in.txt    gpt-4o stability=0.95, accuracy=0.05; claude-3.5 stability=0.60, accuracy=0.60; gemini-1.5 stability=0.90, accuracy=0.10
9_F.3d_483.in.txt     gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
9_F.3d_506.in.txt     gpt-4o stability=0.90, accuracy=0.90; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.85, accuracy=0.85
9_F.3d_531.in.txt     gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
9_F.3d_792.in.txt     gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
9_F.3d_1078.in.txt    gpt-4o stability=0.80, accuracy=0.80; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
9_F.3d_1270.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=0.85, accuracy=0.85; gemini-1.5 stability=1.00, accuracy=1.00
10_F.3d_243.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=0.55, accuracy=0.55; gemini-1.5 stability=0.65, accuracy=0.65
10_F.3d_276.in.txt    gpt-4o stability=0.70, accuracy=0.30; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.90, accuracy=0.90
10_F.3d_718.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
10_F.3d_1184.in.txt   gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
10_F.3d_1315.in.txt   gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
10_F.3d_1478.in.txt   gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
10_F.3d_1547.in.txt   gpt-4o stability=0.95, accuracy=0.05; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
11_F.3d_464.in.txt    gpt-4o stability=0.55, accuracy=0.55; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.75, accuracy=0.75
11_F.3d_469.in.txt    gpt-4o stability=0.95, accuracy=0.95; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.95, accuracy=0.95
11_F.3d_516.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=0.75, accuracy=0.25; gemini-1.5 stability=1.00, accuracy=0.00
11_F.3d_613.in.txt    gpt-4o stability=0.80, accuracy=0.80; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.60, accuracy=0.40
11_F.3d_707.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.55, accuracy=0.45
11_F.3d_865.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
11_F.3d_1255.in.txt   gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.80, accuracy=0.20
11_F.3d_1411.in.txt   gpt-4o stability=0.90, accuracy=0.10; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.60, accuracy=0.40
11_F.3d_1545.in.txt   gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
12_F.3d_388.in.txt    gpt-4o stability=0.80, accuracy=0.20; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
12_F.3d_754.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
12_F.3d_823.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.60, accuracy=0.60
12_F.3d_922.in.txt    gpt-4o stability=0.85, accuracy=0.15; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
12_F.3d_1144.in.txt   gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.90, accuracy=0.90
12_F.3d_1464.in.txt   gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
12_F.3d_1474.in.txt   gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
13_F.3d_296.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
13_F.3d_350.in.txt    gpt-4o stability=0.75, accuracy=0.75; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=0.00
13_F.3d_355.in.txt    gpt-4o stability=0.95, accuracy=0.95; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.60, accuracy=0.60
13_F.3d_463.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
13_F.3d_833.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
13_F.3d_1043.in.txt   gpt-4o stability=0.60, accuracy=0.40; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.95, accuracy=0.05
13_F.3d_1254.in.txt   gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
13_F.3d_1430.in.txt   gpt-4o stability=0.75, accuracy=0.75; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.95, accuracy=0.95
13_F.3d_1477.in.txt   gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
14_F.3d_106.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
14_F.3d_271.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
14_F.3d_410.in.txt    gpt-4o stability=0.85, accuracy=0.85; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
14_F.3d_802.in.txt    gpt-4o stability=0.85, accuracy=0.85; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=0.00
14_F.3d_1115.in.txt   gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
14_F.3d_1213.in.txt   gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.95, accuracy=0.95
14_F.3d_1344.in.txt   gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.95, accuracy=0.05
15_F.3d_278.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.70, accuracy=0.70
15_F.3d_313.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
15_F.3d_319.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.70, accuracy=0.30
15_F.3d_888.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.85, accuracy=0.15
15_F.3d_1100.in.txt   gpt-4o stability=0.95, accuracy=0.05; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.90, accuracy=0.10
15_F.3d_1112.in.txt   gpt-4o stability=0.65, accuracy=0.65; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=0.00
15_F.3d_1302.in.txt   gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.90, accuracy=0.10
15_F.3d_1365.in.txt   gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.75, accuracy=0.75
15_F.3d_1455.in.txt   gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
16_F.3d_109.in.txt    gpt-4o stability=0.85, accuracy=0.85; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.75, accuracy=0.25
16_F.3d_423.in.txt    gpt-4o stability=0.90, accuracy=0.90; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.60, accuracy=0.60
16_F.3d_590.in.txt    gpt-4o stability=0.65, accuracy=0.65; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
16_F.3d_844.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
16_F.3d_865.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.95, accuracy=0.95
16_F.3d_996.in.txt    gpt-4o stability=0.70, accuracy=0.70; claude-3.5 stability=0.70, accuracy=0.70; gemini-1.5 stability=1.00, accuracy=1.00
16_F.3d_1021.in.txt   gpt-4o stability=0.65, accuracy=0.35; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.80, accuracy=0.80
16_F.3d_1093.in.txt   gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.90, accuracy=0.90
16_F.3d_1149.in.txt   gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
16_F.3d_1168.in.txt   gpt-4o stability=0.85, accuracy=0.15; claude-3.5 stability=0.70, accuracy=0.70; gemini-1.5 stability=0.70, accuracy=0.30
16_F.3d_1465.in.txt   gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
16_F.3d_1493.in.txt   gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=0.90, accuracy=0.10; gemini-1.5 stability=1.00, accuracy=0.00
17_F.3d_269.in.txt    gpt-4o stability=0.75, accuracy=0.75; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.55, accuracy=0.55
17_F.3d_295.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
17_F.3d_925.in.txt    gpt-4o stability=0.80, accuracy=0.20; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
17_F.3d_1033.in.txt   gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.85, accuracy=0.85
17_F.3d_1047.in.txt   gpt-4o stability=0.80, accuracy=0.20; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
18_F.3d_73.in.txt     gpt-4o stability=0.70, accuracy=0.70; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.95, accuracy=0.05
18_F.3d_96.in.txt     gpt-4o stability=0.90, accuracy=0.90; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.90, accuracy=0.90
18_F.3d_245.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
18_F.3d_425.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
18_F.3d_658.in.txt    gpt-4o stability=0.55, accuracy=0.45; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
18_F.3d_757.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
